,Speaker,Date,Article_Link,Location,Word_Count,Inflation_Mentions,Expectation_Mentions,Resolve_Mentions,Optimism_Mentions,Recession_Mentions,Employment_Mentions,Unemployment_Mentions,Wage_Mentions,Instability_Mentions,Crisis_Mentions,Rate_Mentions,Spread_Mentions,Easing_Mentions,Tightening_Metions,Uncertainty_Mentions,Output_Mentions,Declining_Mentions,Rising_Mentions,Concern_Mentions,Labor_Mentions,Interest_Mentions
1_1,Governor Lisa D. Cook,2023-05-05,https://www.federalreserve.gov/newsevents/speech/cook20230505a.htm,"At the 2023 Spring Convocation, Michigan State University, East Lansing, Michigan",1509,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
1_2,Governor Lisa D. Cook,2023-04-21,https://www.federalreserve.gov/newsevents/speech/cook20230421a.htm,"At the Carroll Round Keynote Speech, Georgetown University McDonough School of Business, Washington, D.C.",2279,29,0,0,0,0,6,4,6,0,0,12,0,1,2,0,0,0,0,0,13,2
1_3,Governor Michelle W. Bowman,2023-04-20,https://www.federalreserve.gov/newsevents/speech/bowman20230420a.htm,"At the Fed Listens Event hosted by the Federal Reserve Bank of Dallas, Odessa, Texas",569,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,4
1_4,Governor Christopher J. Waller,2023-04-20,https://www.federalreserve.gov/newsevents/speech/waller20230420a.htm,"At the Cryptocurrency and the Future of Global Finance, Sarasota, Florida",1923,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,1
1_5,Governor Michelle W. Bowman,2023-04-18,https://www.federalreserve.gov/newsevents/speech/bowman20230418a.htm,"At the Georgetown University McDonough School of Business Psaros Center for Financial Markets and Policy, Washington, DC",4087,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,1,2
1_6,Governor Michelle W. Bowman,2023-04-14,https://www.federalreserve.gov/newsevents/speech/bowman20230414a.htm,"At the Wharton Financial Regulation Conference, Philadelphia, Pennsylvania",4950,0,8,0,0,0,0,0,0,0,6,16,1,2,0,1,0,0,1,2,0,6
1_7,Governor Christopher J. Waller,2023-04-14,https://www.federalreserve.gov/newsevents/speech/waller20230414a.htm,"At the Graybar National Training Conference, San Antonio, Texas",1951,20,0,0,0,0,3,1,1,0,1,15,1,1,7,0,1,1,1,0,8,2
1_8,Governor Lisa D. Cook,2023-04-04,https://www.federalreserve.gov/newsevents/speech/cook20230404a.htm,"At ""Exploring Careers in Economics,"" a conference sponsored by the Board of Governors of the Federal Reserve System, Washington, D.C.",474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_9,Governor Christopher J. Waller,2023-03-31,https://www.federalreserve.gov/newsevents/speech/waller20230331a.htm,"At the Macroeconomics and Monetary Policy, a conference sponsored by the Federal Reserve Bank of San Francisco, San Francisco, California",2610,62,29,0,0,1,20,18,8,0,0,12,0,0,0,0,6,0,1,0,3,0
1_10,Governor Lisa D. Cook,2023-03-31,https://www.federalreserve.gov/newsevents/speech/cook20230331a.htm,"At the 2023 Midwest Economics Association 87th Annual Meeting, Cleveland, Ohio",2225,30,3,0,0,3,5,1,8,0,1,14,0,1,1,1,1,0,2,1,9,4
1_11,Vice Chair for Supervision Michael S. Barr,2023-03-29,https://www.federalreserve.gov/newsevents/speech/barr20230329a.htm,"At the National Community Reinvestment Coalition Just Economy Conference, Washington, D.C. (via prerecorded video)",686,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
1_12,Governor Philip N. Jefferson,2023-03-27,https://www.federalreserve.gov/newsevents/speech/jefferson20230327a.htm,"At the H. Parker Willis Lecture, Washington and Lee University, Lexington, Virginia",5350,18,5,0,0,0,6,1,0,0,1,167,0,4,9,0,0,0,0,1,0,66
1_13,Governor Michelle W. Bowman,2023-03-14,https://www.federalreserve.gov/newsevents/speech/bowman20230314a.htm,"At the Independent Community Bankers of America ICBA Live 2023 Conference, Honolulu, Hawaii",4949,0,21,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,3,0,8
1_14,Vice Chair for Supervision Michael S. Barr,2023-03-09,https://www.federalreserve.gov/newsevents/speech/barr20230309a.htm,"At the Peterson Institute for International Economics, Washington, D.C.",3462,0,8,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,3,0,2
1_15,Governor Michelle W. Bowman,2023-03-03,https://www.federalreserve.gov/newsevents/speech/bowman20230303a.htm,"At The Chicago Booth Initiative on Global Markets Workshop on Market Dysfunction, Chicago, Illinois",1113,0,0,0,0,0,0,0,0,1,1,9,0,1,1,0,0,0,0,0,0,0
1_16,Governor Christopher J. Waller,2023-03-02,https://www.federalreserve.gov/newsevents/speech/waller20230302a.htm,"At the Mid-Size Bank Coalition of America, Los Angeles, California (via webcast)",1366,26,1,0,0,0,8,1,2,0,0,12,0,1,1,0,0,1,0,0,11,1
1_17,Governor Philip N. Jefferson,2023-02-27,https://www.federalreserve.gov/newsevents/speech/jefferson20230227a.htm,"At the Ec10, Principles of Economics, Lecture, Faculty of Arts and Sciences, Harvard University, Cambridge, Massachusetts",4309,110,5,0,0,3,4,0,6,0,1,29,1,2,0,5,0,1,0,0,5,4
1_18,Governor Philip N. Jefferson,2023-02-24,https://www.federalreserve.gov/newsevents/speech/jefferson20230224a.htm,"At the U.S. Monetary Policy Forum, New York, New York",2630,79,12,1,0,4,2,1,0,0,0,16,0,3,5,0,4,0,0,0,13,6
1_19,Governor Lisa D. Cook,2023-02-16,https://www.federalreserve.gov/newsevents/speech/cook20230216a.htm,"At the Sadie Collective Research Reception, Washington, D.C.",1268,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1_20,Governor Michelle W. Bowman,2023-02-15,https://www.federalreserve.gov/newsevents/speech/bowman20230215a.htm,"At the Midwest Cyber Workshop, organized by the Federal Reserve Banks of Chicago, Kansas City, and St. Louis",2346,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
2_1,Governor Michelle W. Bowman,2023-02-13,https://www.federalreserve.gov/newsevents/speech/bowman20230213a.htm,"At the American Bankers Association Community Banking Conference, Orlando, Florida",3174,16,9,0,0,0,0,0,1,0,1,13,0,1,1,1,0,0,0,3,5,0
2_2,Governor Christopher J. Waller,2023-02-10,https://www.federalreserve.gov/newsevents/speech/waller20230210a.htm,"At the Global Interdependence Center Conference: Digital Money, Decentralized Finance, and the Puzzle of Crypto, La Jolla, California",1393,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
2_3,Governor Christopher J. Waller,2023-02-08,https://www.federalreserve.gov/newsevents/speech/waller20230208a.htm,"At the 2023 Arkansas State University Agribusiness Conference, Jonesboro, Arkansas",3240,90,1,0,0,1,3,1,5,0,0,26,0,2,0,0,0,2,5,0,9,5
2_4,Vice Chair for Supervision Michael S. Barr,2023-02-07,https://www.federalreserve.gov/newsevents/speech/barr20230207a.htm,"At the Hope Economic Mobility Forum at Jackson State University, Jackson, Mississippi",4660,0,0,1,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,2,1
2_5,Governor Lisa D. Cook,2023-01-21,https://www.federalreserve.gov/newsevents/speech/cook20230121a.htm,"At the “110 Years of Deltas Embracing the Past while Shaping the Future” event, Norfolk, Virginia",2970,0,1,2,0,0,3,1,0,0,1,4,0,0,0,0,0,0,0,0,2,2
2_6,Governor Christopher J. Waller,2023-01-20,https://www.federalreserve.gov/newsevents/speech/waller20230120a.htm,"At the C. Peter McColough Series on International Economics, Council on Foreign Relations, New York, New York",1993,40,3,0,0,0,6,1,8,0,0,28,1,1,6,0,2,0,1,0,10,7
2_7,Vice Chair Lael Brainard,2023-01-19,https://www.federalreserve.gov/newsevents/speech/brainard20230119a.htm,"At the University of Chicago Booth School of Business, Chicago, Illinois",3035,40,6,1,0,0,10,1,19,0,0,17,2,3,5,4,2,4,0,0,11,2
2_8,Governor Michelle W. Bowman,2023-01-10,https://www.federalreserve.gov/newsevents/speech/bowman20230110a.htm,"At the Florida Bankers Association Leadership Luncheon Events, Miami, Florida",1887,20,1,0,0,1,2,2,0,0,1,11,0,1,4,0,0,1,0,2,6,4
2_9,Chair Jerome H. Powell,2023-01-10,https://www.federalreserve.gov/newsevents/speech/powell20230110a.htm,"At the Symposium on Central Bank Independence, Sveriges Riksbank, Stockholm, Sweden",1239,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2_10,Governor Lisa D. Cook,2023-01-06,https://www.federalreserve.gov/newsevents/speech/cook20230106a.htm,"At the 2023 Allied Social Science Associations (ASSA) Annual Meeting, New Orleans, Louisiana",2114,55,10,1,0,0,2,2,1,0,0,8,1,1,0,0,1,1,0,2,8,0
2_11,Vice Chair for Supervision Michael S. Barr,2022-12-01,https://www.federalreserve.gov/newsevents/speech/barr20221201a.htm,"At the American Enterprise Institute, Washington, D.C. (virtual)",5458,0,0,0,0,1,2,1,0,0,18,10,4,0,0,0,0,0,1,0,0,2
2_12,Chair Jerome H. Powell,2022-11-30,https://www.federalreserve.gov/newsevents/speech/powell20221130a.htm,"At the Hutchins Center on Fiscal and Monetary Policy, Brookings Institution, Washington, D.C.",3257,62,0,0,0,0,5,2,10,0,0,22,0,3,4,1,0,2,3,1,37,2
2_13,Governor Lisa D. Cook,2022-11-30,https://www.federalreserve.gov/newsevents/speech/cook20221130a.htm,"At the Detroit Economic Club, Detroit, Michigan",2957,19,0,0,0,1,4,0,1,0,0,12,2,4,2,0,5,0,2,1,13,1
2_14,Vice Chair Lael Brainard,2022-11-28,https://www.federalreserve.gov/newsevents/speech/brainard20221128a.htm,"At the 21st BIS Annual Conference Central Banking after the Pandemic: Challenges Ahead, Bank for International Settlements, Basel, Switzerland",2437,53,17,0,0,0,0,0,0,0,0,9,0,0,3,7,15,0,1,0,5,1
2_15,Governor Philip N. Jefferson,2022-11-17,https://www.federalreserve.gov/newsevents/speech/jefferson20221117a.htm,"At the 2022 Institute Research Conference, hosted by the Opportunity and Inclusive Growth Institute, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota",1281,7,0,0,0,0,7,4,0,0,0,8,1,0,0,0,0,0,0,0,6,1
2_16,Governor Michelle W. Bowman,2022-11-17,https://www.federalreserve.gov/newsevents/speech/bowman20221117a.htm,"At the Financial Literacy and Education Commission Public Meeting, Financial Literacy and Education Commission, Washington, DC (via webcast)",1503,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2_17,Governor Christopher J. Waller,2022-11-16,https://www.federalreserve.gov/newsevents/speech/waller20221116a.htm,"At the 59th Annual Economic Forecast Luncheon, Phoenix, Arizona",3058,50,2,0,0,0,4,1,7,0,0,42,2,3,8,0,1,0,2,0,17,8
2_18,Governor Michelle W. Bowman,2022-10-20,https://www.federalreserve.gov/newsevents/speech/bowman20221020a.htm,"At ""Toward an Inclusive Recovery,"" a research seminar sponsored by the Board of Governors of the Federal Reserve System, Washington, D.C. (via webcast)",1144,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,12,1
2_19,Governor Christopher J. Waller,2022-10-14,https://www.federalreserve.gov/newsevents/speech/waller20221014a.htm,"At ""Digital Currencies and National Security Tradeoffs,"" a symposium presented by the Harvard National Security Journal, Cambridge, Massachusetts",2844,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0
2_20,Governor Michelle W. Bowman,2022-10-12,https://www.federalreserve.gov/newsevents/speech/bowman20221012a.htm,"At the Money Marketeers of New York University, New York, New York",3893,30,2,1,0,1,7,1,0,0,11,46,0,1,4,7,0,0,2,5,4,5
3_1,Vice Chair for Supervision Michael S. Barr,2022-10-12,https://www.federalreserve.gov/newsevents/speech/barr20221012a.htm,"At D.C. Fintech Week, Washington, D.C.",2232,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2
3_2,Vice Chair Lael Brainard,2022-10-10,https://www.federalreserve.gov/newsevents/speech/brainard20221010a.htm,"At ""Shocks and Aftershocks: Finding Balance in an Unstable World"" 64th National Association for Business Economics Annual Meeting, Chicago, Illinois",2557,35,11,0,0,0,6,1,7,0,1,26,1,0,11,2,2,1,0,0,7,5
3_3,Governor Christopher J. Waller,2022-10-06,https://www.federalreserve.gov/newsevents/speech/waller20221006a.htm,"At the Mark C. Berger Workshop Series, University of Kentucky, Lexington, Kentucky",2932,58,2,0,0,0,7,3,1,0,0,31,0,2,6,0,0,0,2,3,3,5
3_4,Governor Lisa D. Cook,2022-10-06,https://www.federalreserve.gov/newsevents/speech/cook20221006a.htm,"At the Peterson Institute for International Economics, Washington, D.C.",2318,44,5,0,0,0,4,1,2,0,1,13,1,3,5,2,0,0,1,1,13,1
3_5,Governor Philip N. Jefferson,2022-10-04,https://www.federalreserve.gov/newsevents/speech/jefferson20221004a.htm,"At “Technology-Enabled Disruption: Lessons from the Pandemic and the Path Ahead,” a conference organized by the Federal Reserve Banks of Atlanta, Dallas, and Richmond",1537,9,5,1,0,0,2,1,3,0,0,3,0,0,0,0,0,0,1,2,6,0
3_6,Governor Michelle W. Bowman,2022-09-30,https://www.federalreserve.gov/newsevents/speech/bowman20220930a.htm,"At the Institute of International Finance (IIF) Event: In Conversation with Michelle Bowman, Washington, D.C. (virtual)",3713,0,10,0,0,0,0,0,0,0,10,6,0,1,0,0,0,0,1,4,0,1
3_7,Vice Chair Lael Brainard,2022-09-30,https://www.federalreserve.gov/newsevents/speech/brainard20220930a.htm,"At “Financial Stability Considerations for Monetary Policy,” a research conference organized by the Board of Governors of the Federal Reserve System and the Federal Reserve Bank of New York, New York, New York",2118,24,3,0,0,0,1,0,1,0,0,21,0,0,15,1,1,0,1,1,2,4
3_8,Governor Michelle W. Bowman,2022-09-28,https://www.federalreserve.gov/newsevents/speech/bowman20220928a.htm,"At the 2022 Community Banking Research Conference, sponsored by the Federal Reserve, the Conference of State Bank Supervisors, and the Federal Deposit Insurance Corporation, St. Louis, Missouri",3946,0,0,0,0,0,0,0,0,0,2,11,0,5,0,0,0,1,1,0,0,3
3_9,Chair Jerome H. Powell,2022-09-28,https://www.federalreserve.gov/newsevents/speech/powell20220928a.htm,"At the 2022 Community Banking Research Conference, sponsored by the Federal Reserve, the Conference of State Bank Supervisors, and the Federal Deposit Insurance Corporation, St. Louis, Missouri (via pre-recorded video)",408,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0
3_10,Governor Christopher J. Waller,2022-09-09,https://www.federalreserve.gov/newsevents/speech/waller20220909a.htm,"At the 17th Annual Vienna Macroeconomics Workshop (2022), Vienna, Austria",3148,51,5,1,0,4,8,2,8,0,0,35,2,2,12,0,0,0,3,1,8,3
3_11,Vice Chair for Supervision Michael S. Barr,2022-09-07,https://www.federalreserve.gov/newsevents/speech/barr20220907a.htm,"At the Brookings Institution, Washington, D.C.",3094,0,1,3,0,1,0,0,0,2,6,9,1,1,0,0,0,0,1,1,0,0
3_12,Vice Chair Lael Brainard,2022-09-07,https://www.federalreserve.gov/newsevents/speech/brainard20220907a.htm,"At the Clearing House and Bank Policy Institute 2022 Annual Conference, New York, New York",2553,30,4,1,0,1,5,2,1,0,0,16,0,3,6,1,3,1,1,0,9,3
3_13,Vice Chair Lael Brainard,2022-08-29,https://www.federalreserve.gov/newsevents/speech/brainard20220829a.htm,"At FedNow Early Adopter Workshop, Rosemont, Illinois (via webcast)",1057,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
3_14,Chair Jerome H. Powell,2022-08-26,https://www.federalreserve.gov/newsevents/speech/powell20220826a.htm,"At “Reassessing Constraints on the Economy and Policy,” an economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming",1446,47,7,1,0,1,1,0,2,0,0,7,1,0,0,1,0,0,0,0,5,1
3_15,Governor Michelle W. Bowman,2022-08-17,https://www.federalreserve.gov/monetarypolicy.htm,"At Arkansas Women's Commission Meeting, Russellville, Arkansas",,,,,,,,,,,,,,,,,,,,,,
3_16,Governor Michelle W. Bowman,2022-08-17,https://www.federalreserve.gov/newsevents/speech/bowman20220817a.htm,"At the VenCent Fintech Conference, Little Rock, Arkansas",2047,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,4
3_17,Governor Michelle W. Bowman,2022-08-06,https://www.federalreserve.gov/newsevents/speech/bowman20220806a.htm,"At the 2022 CEO & Senior Management Summit sponsored by the Kansas Bankers Association, Colorado Springs, Colorado",2334,26,4,0,0,0,6,2,2,0,0,13,0,2,0,2,1,1,3,6,7,4
3_18,Vice Chair Lael Brainard,2022-07-19,https://www.federalreserve.gov/newsevents/speech/brainard20220719a.htm,At National Native Coalition Virtual Series on the Community Reinvestment Act Notice of Proposed Rulemaking (via webcast),1074,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
3_19,Governor Christopher J. Waller,2022-07-14,https://www.federalreserve.gov/newsevents/speech/waller20220714a.htm,"At Rocky Mountain Economic Summit Global Interdependence Center, Victor, Idaho",3532,59,8,0,0,6,18,11,0,0,0,32,1,0,11,1,2,1,2,0,30,3
3_20,Vice Chair Lael Brainard,2022-07-08,https://www.federalreserve.gov/newsevents/speech/brainard20220708a.htm,"At Bank of England Conference, London, United Kingdom",2988,1,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,1
4_1,Governor Michelle W. Bowman,2022-06-23,https://www.federalreserve.gov/newsevents/speech/bowman20220623a.htm,"At Executive Officers Conference, Massachusetts Bankers Association, Harwich, Massachusetts",1423,33,8,0,0,0,1,0,3,0,0,19,0,0,0,0,0,0,0,0,10,2
4_2,Governor Christopher J. Waller,2022-06-18,https://www.federalreserve.gov/newsevents/speech/waller20220618a.htm,"At “Monetary Policy at a Crossroads,” a panel discussion hosted by the Dallas Society for Computational Economics, Dallas, Texas",2900,17,0,0,0,1,7,3,0,0,5,47,0,1,10,0,0,1,0,1,4,8
4_3,Chair Jerome H. Powell,2022-06-17,https://www.federalreserve.gov/newsevents/speech/powell20220617a.htm,"At the ""International Roles of the U.S. Dollar,"" a research conference sponsored by the Federal Reserve Board, Washington, DC",895,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0
4_4,Governor Christopher J. Waller,2022-06-03,https://www.federalreserve.gov/newsevents/speech/waller20220603a.htm,"At the SNB-CIF Conference on Cryptoassets and Financial Innovation, Zürich, Switzerland",1631,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,2
4_5,Governor Christopher J. Waller,2022-05-30,https://www.federalreserve.gov/newsevents/speech/waller20220530a.htm,"At the Institute for Monetary and Financial Stability (IMFS) Distinguished Lecture, Goethe University Frankfurt, Germany",4756,45,12,3,0,4,73,67,1,0,0,80,0,3,12,0,2,0,3,2,33,5
4_6,Vice Chair Lael Brainard,2022-05-25,https://www.federalreserve.gov/newsevents/speech/brainard20220525a.htm,"At the 2022 Commencement of the School for Advanced International Studies, Johns Hopkins University, Washington, D.C.",2227,4,0,1,0,0,6,2,0,0,7,3,3,0,0,0,0,0,0,1,1,0
4_7,Chair Jerome H. Powell,2022-05-24,https://www.federalreserve.gov/newsevents/speech/powell20220524a.htm,"At the Reservation Economic Summit 2022 hosted by the National Center for American Indian Enterprise Development, Las Vegas, Nevada (via prerecorded video)",600,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0
4_8,Governor Christopher J. Waller,2022-05-06,https://www.federalreserve.gov/newsevents/speech/waller20220506a.htm,"At the 2022 Hoover Institution Monetary Conference, Stanford, California",2319,25,2,0,0,0,11,3,0,0,0,19,0,0,0,0,0,0,0,0,13,1
4_9,Governor Lael Brainard,2022-04-05,https://www.federalreserve.gov/newsevents/speech/brainard20220405a.htm,"At the Spring 2022 Institute Research Conference, Opportunity and Inclusive Growth Institute, Federal Reserve Bank of Minneapolis, Minneapolis, Minnesota (via webcast)",3801,75,4,0,0,3,12,2,0,0,0,23,0,0,5,1,0,0,1,1,11,2
4_10,Governor Christopher J. Waller,2022-03-24,https://www.federalreserve.gov/newsevents/speech/waller20220324a.htm,"At the ""Recent Fiscal and Monetary Policy: Implications for U.S. and Israeli Real Estate Markets"" conference",3545,10,0,0,0,4,4,2,0,0,1,33,0,1,1,0,0,0,4,2,5,3
4_11,Chair Pro Tempore Jerome H. Powell,2022-03-21,https://www.federalreserve.gov/newsevents/speech/powell20220321a.htm,"At ""Policy Options for Sustainable and Inclusive Growth"" 38th Annual Economic Policy Conference National Association for Business Economics, Washington, D.C.",2805,26,9,0,1,7,15,7,4,0,0,19,1,1,5,0,1,0,5,0,21,1
4_12,Governor Michelle W. Bowman,2022-03-18,https://www.federalreserve.gov/newsevents/speech/bowman20220318a.htm,"At Fed Listens: Helping Youth Thrive—A Discussion with Leaders, Federal Reserve Bank of Cleveland, Cleveland, Ohio (via livestream)",471,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1
4_13,Governor Christopher J. Waller,2022-02-24,https://www.federalreserve.gov/newsevents/speech/waller20220224a.htm,"At the Economic Forecast Project, University of California, Santa Barbara, Santa Barbara, California",3836,54,11,1,0,0,16,2,1,0,0,24,1,5,8,2,3,0,0,1,12,3
4_14,Governor Michelle W. Bowman,2022-02-21,https://www.federalreserve.gov/newsevents/speech/bowman20220221a.htm,"At the American Bankers Association Community Banking Conference, Palm Desert, California",1544,19,0,0,0,0,5,0,3,0,0,9,0,5,0,0,0,0,2,0,8,6
4_15,Governor Lael Brainard,2022-02-18,https://www.federalreserve.gov/monetarypolicy.htm,"At the 2022 U.S. Monetary Policy Forum, New York, New York",,,,,,,,,,,,,,,,,,,,,,
4_16,Governor Christopher J. Waller,2022-02-18,https://www.federalreserve.gov/newsevents/speech/waller20220218a.htm,"At the 2022 U.S. Monetary Policy Forum, New York, New York",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_17,Governor Christopher J. Waller,2021-12-17,https://www.federalreserve.gov/newsevents/speech/waller20211217a.htm,"At the Forecasters Club of New York, New York, New York",3783,23,3,0,0,2,28,19,2,0,6,29,2,0,0,3,0,1,1,0,6,1
4_18,Governor Randal K. Quarles,2021-12-02,https://www.federalreserve.gov/newsevents/speech/quarles20211202a.htm,"At the American Enterprise Institute, Washington, D.C.",7808,0,4,1,0,3,2,1,1,0,13,33,2,6,0,1,0,0,0,12,0,3
4_19,Vice Chair Richard H. Clarida,2021-11-30,https://www.federalreserve.gov/newsevents/speech/clarida20211130a.htm,"At the Federal Reserve Bank of Cleveland, Cleveland, Ohio (via livestream)",4258,0,0,0,0,0,9,2,0,0,20,19,1,0,0,1,0,0,0,1,0,3
4_20,Governor Michelle W. Bowman,2021-11-29,https://www.federalreserve.gov/newsevents/speech/bowman20211129a.htm,"At Virtual Symposium on Indigenous Economies: Bank of Canada, Tulo Centre of Indigenous Economics, the Reserve Bank of New Zealand",2016,0,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,1,0
5_1,Chair Jerome H. Powell,2021-11-29,https://www.federalreserve.gov/newsevents/speech/powell20211129a.htm,"At the Introducing the New York Innovation Center Event, Washington, D.C. (via webcast)",444,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0
5_2,Vice Chair Richard H. Clarida,2021-11-19,https://www.federalreserve.gov/newsevents/speech/clarida20211119a.htm,"At the ""Macroeconomic Policy and Global Economic Recovery"" 2021 Asia Economic Policy Conference, sponsored by the Federal Reserve Bank of San Francisco Center for Pacific Basin Studies, San Francisco, California (via webcast)",3979,30,2,0,0,0,4,0,0,0,5,51,1,2,0,0,1,0,0,1,0,12
5_3,Governor Christopher J. Waller,2021-11-19,https://www.federalreserve.gov/newsevents/speech/waller20211119a.htm,"At the Center for Financial Stability, New York, New York",3069,32,7,1,1,0,13,3,5,0,0,19,3,1,1,0,2,1,0,3,7,3
5_4,Governor Christopher J. Waller,2021-11-17,https://www.federalreserve.gov/newsevents/speech/waller20211117a.htm,"At ""Planning for Surprises, Learning from Crises"" 2021 Financial Stability Conference, cohosted by the Federal Reserve Bank of Cleveland and the Office of Financial Research, Cleveland, Ohio (via webcast)",2956,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,2
5_5,Chair Jerome H. Powell,2021-11-09,https://www.federalreserve.gov/newsevents/speech/powell20211109a.htm,"At the Conference on Diversity and Inclusion in Economics, Finance, and Central Banking, sponsored by the Bank of Canada, the Bank of England, the Board of Governors of the Federal Reserve System, and the European Central Bank (via webcast)",980,0,0,0,0,1,6,2,1,0,0,2,1,0,0,0,0,0,0,0,3,0
5_6,Governor Michelle W. Bowman,2021-11-08,https://www.federalreserve.gov/newsevents/speech/bowman20211108a.htm,"At the Women in Housing and Finance Public Policy Luncheon, Washington, D.C.",2196,4,0,0,0,0,1,0,0,0,2,8,2,2,0,0,0,0,4,6,1,4
5_7,Chair Jerome H. Powell,2021-11-08,https://www.federalreserve.gov/newsevents/speech/powell20211108a.htm,"At the Gender and the Economy Conference, a symposium hosted by the Division of Consumer and Community Affairs, Board of Governors of the Federal Reserve System, Washington, D.C. (via webcast)",690,0,0,0,0,2,4,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0
5_8,Vice Chair Richard H. Clarida,2021-11-08,https://www.federalreserve.gov/newsevents/speech/clarida20211108a.htm,"At the Symposium on Monetary Policy Frameworks, The Brookings Institution, Washington, D.C. (via webcast)",2201,25,6,0,0,3,15,6,1,0,0,23,0,1,0,0,0,0,1,0,10,2
5_9,Governor Michelle W. Bowman,2021-10-22,https://www.federalreserve.gov/newsevents/speech/bowman20211022a.htm,"At the 2021 Community Bankers Symposium: Banking on the Future, Federal Reserve Bank of Chicago, Chicago, Illinois",2332,0,1,0,0,1,0,0,0,0,1,4,0,2,0,0,0,3,0,5,0,1
5_10,Governor Randal K. Quarles,2021-10-20,https://www.federalreserve.gov/newsevents/speech/quarles20211020a.htm,"At the 2021 Milken Institute Global Conference ""Charting a New Course,"" Beverly Hills, California",3624,79,19,0,0,1,23,6,6,0,0,32,3,4,1,2,0,0,2,2,16,8
5_11,Governor Christopher J. Waller,2021-10-19,https://www.federalreserve.gov/newsevents/speech/waller20211019a.htm,"At the Stanford Institute for Economic Policy Research Associates Meeting, Stanford, California (via webcast)",3501,84,22,0,0,1,14,7,4,0,0,21,3,2,0,0,0,0,1,4,21,0
5_12,Governor Michelle W. Bowman,2021-10-19,https://www.federalreserve.gov/newsevents/speech/bowman20211019a.htm,"At the Women in Banking Symposium, Federal Reserve Bank of Richmond, Richmond, Virginia (via webcast)",1927,0,0,0,0,2,20,7,0,0,1,8,0,0,0,0,0,0,1,1,24,0
5_13,Governor Randal K. Quarles,2021-10-18,https://www.federalreserve.gov/newsevents/speech/quarles20211018a.htm,"At the Third Conference on Financial Stability, Madrid, Spain",2980,0,1,1,0,0,0,0,0,0,16,3,0,1,0,1,0,0,0,1,1,1
5_14,Governor Michelle W. Bowman,2021-10-13,https://www.federalreserve.gov/newsevents/speech/bowman20211013a.htm,"At the Dykhouse Scholar Program Speakers Series in Money, Banking, and Regulation South Dakota State University, Brookings, South Dakota",3617,18,6,2,0,0,14,2,3,0,2,13,2,2,0,3,0,0,2,8,8,5
5_15,Governor Lael Brainard,2021-10-13,https://www.federalreserve.gov/sitemap.htm,"At Fed Listens: Roundtable with Oklahoma Tribal Leaders, Oklahoma City, Oklahoma",,,,,,,,,,,,,,,,,,,,,,
