,Speaker,Date,Article_Link,Location,Word_Count,Inflation_Mentions,Expectation_Mentions,Resolve_Mentions,Optimism_Mentions,Recession_Mentions,Employment_Mentions,Unemployment_Mentions,Wage_Mentions,Instability_Mentions,Crisis_Mentions,Rate_Mentions,Spread_Mentions,Easing_Mentions,Tightening_Metions,Uncertainty_Mentions,Output_Mentions,Declining_Mentions,Rising_Mentions,Concern_Mentions,Labor_Mentions,Interest_Mentions
32_12,Governor Elizabeth A. Duke,2011-05-24,https://www.federalreserve.gov/newsevents/speech/duke20110524a.htm,"At the Federal Reserve Bank of Boston, Boston, Massachusetts",2640,0,1,0,0,1,3,1,0,0,2,7,0,4,0,0,0,0,3,0,1,1
32_13,Chairman Ben S. Bernanke,2011-05-16,https://www.federalreserve.gov/newsevents/speech/bernanke20110516a.htm,"At the Conference on ""New Building Blocks for Jobs and Economic Growth,"" Washington, D.C.",3995,0,0,0,0,0,3,0,2,0,1,9,2,4,0,1,4,2,1,2,4,2
32_14,Chairman Ben S. Bernanke,2011-05-12,https://www.federalreserve.gov/newsevents/speech/bernanke20110512a.htm,"At the United States-Mexico Chamber of Commerce Annual Gala, Washington, D.C.",555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32_15,Governor Elizabeth A. Duke,2011-05-10,https://www.federalreserve.gov/newsevents/speech/duke20110510a.htm,"At the 2011 Exploring Innovation Conference on Community Development Finance, St. Louis, Missouri",3503,0,0,0,1,0,6,3,0,0,7,14,1,5,1,0,0,2,1,2,11,3
32_16,Vice Chair Janet L. Yellen,2011-05-06,https://www.federalreserve.gov/newsevents/speech/yellen20110506a.htm,"At the Bank of Finland 200th Anniversary Conference, Helsinki, Finland",3758,1,0,0,0,1,0,0,0,0,8,18,1,0,0,0,1,0,1,1,0,2
32_17,Chairman Ben S. Bernanke,2011-05-05,https://www.federalreserve.gov/newsevents/speech/bernanke20110505a.htm,"At the 47th Annual Conference on Bank Structure and Competition, Chicago, Illinois",3594,0,0,0,0,0,0,0,0,3,8,5,1,2,0,1,0,0,1,7,0,2
32_18,Chairman Ben S. Bernanke,2011-04-29,https://www.federalreserve.gov/newsevents/speech/bernanke20110429a.htm,"At the Federal Reserve Community Affairs Research Conference, Arlington, Virginia",2647,0,1,0,0,3,15,12,1,0,11,19,0,2,0,0,0,1,3,0,4,0
32_19,Governor Elizabeth A. Duke,2011-04-28,https://www.federalreserve.gov/newsevents/speech/duke20110428a.htm,"At the 2011 Federal Reserve Community Affairs Research Conference, Arlington, Virginia",1182,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,4,0
32_20,Governor Elizabeth A. Duke,2011-04-14,https://www.federalreserve.gov/newsevents/calendar.htm,"At the 2011 International Factoring Association Conference, Washington, D.C.",653,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,22
33_1,Vice Chair Janet L. Yellen,2011-04-11,https://www.federalreserve.gov/newsevents/speech/yellen20110411a.htm,"At the Economic Club of New York, New York, New York",4756,91,28,0,0,8,12,10,9,0,3,28,0,3,2,2,3,1,8,5,7,2
